group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
copy_or_loop,copy,,,,988521.0,ns,3598
copy_or_loop,copy,,,,1976043.0,ns,7196
copy_or_loop,copy,,,,2972664.0,ns,10794
copy_or_loop,copy,,,,3958385.0,ns,14392
copy_or_loop,copy,,,,4946107.0,ns,17990
copy_or_loop,copy,,,,5943428.0,ns,21588
copy_or_loop,copy,,,,6920349.0,ns,25186
copy_or_loop,copy,,,,7912870.0,ns,28784
copy_or_loop,copy,,,,8919892.0,ns,32382
copy_or_loop,copy,,,,9888613.0,ns,35980
copy_or_loop,copy,,,,10891734.0,ns,39578
copy_or_loop,copy,,,,11911357.0,ns,43176
copy_or_loop,copy,,,,12900278.0,ns,46774
copy_or_loop,copy,,,,13854498.0,ns,50372
copy_or_loop,copy,,,,14840719.0,ns,53970
copy_or_loop,copy,,,,15832741.0,ns,57568
copy_or_loop,copy,,,,16825462.0,ns,61166
copy_or_loop,copy,,,,17815584.0,ns,64764
copy_or_loop,copy,,,,18792105.0,ns,68362
copy_or_loop,copy,,,,19783825.0,ns,71960
copy_or_loop,copy,,,,20766948.0,ns,75558
copy_or_loop,copy,,,,21786169.0,ns,79156
copy_or_loop,copy,,,,22766490.0,ns,82754
copy_or_loop,copy,,,,23737911.0,ns,86352
copy_or_loop,copy,,,,24741932.0,ns,89950
copy_or_loop,copy,,,,25735154.0,ns,93548
copy_or_loop,copy,,,,26705075.0,ns,97146
copy_or_loop,copy,,,,27690797.0,ns,100744
copy_or_loop,copy,,,,28694117.0,ns,104342
copy_or_loop,copy,,,,29697140.0,ns,107940
copy_or_loop,copy,,,,30672560.0,ns,111538
copy_or_loop,copy,,,,31653981.0,ns,115136
copy_or_loop,copy,,,,32656704.0,ns,118734
copy_or_loop,copy,,,,33649824.0,ns,122332
copy_or_loop,copy,,,,34670846.0,ns,125930
copy_or_loop,copy,,,,35626067.0,ns,129528
copy_or_loop,copy,,,,36609489.0,ns,133126
copy_or_loop,copy,,,,37605109.0,ns,136724
copy_or_loop,copy,,,,38599331.0,ns,140322
copy_or_loop,copy,,,,39579352.0,ns,143920
copy_or_loop,copy,,,,40570374.0,ns,147518
copy_or_loop,copy,,,,41560794.0,ns,151116
copy_or_loop,copy,,,,42536216.0,ns,154714
copy_or_loop,copy,,,,43518637.0,ns,158312
copy_or_loop,copy,,,,44498558.0,ns,161910
copy_or_loop,copy,,,,45498080.0,ns,165508
copy_or_loop,copy,,,,46492100.0,ns,169106
copy_or_loop,copy,,,,47462922.0,ns,172704
copy_or_loop,copy,,,,48451043.0,ns,176302
copy_or_loop,copy,,,,49433865.0,ns,179900
copy_or_loop,copy,,,,50454986.0,ns,183498
copy_or_loop,copy,,,,51445707.0,ns,187096
copy_or_loop,copy,,,,52428429.0,ns,190694
copy_or_loop,copy,,,,53405550.0,ns,194292
copy_or_loop,copy,,,,54403171.0,ns,197890
copy_or_loop,copy,,,,55430293.0,ns,201488
copy_or_loop,copy,,,,56436215.0,ns,205086
copy_or_loop,copy,,,,57409936.0,ns,208684
copy_or_loop,copy,,,,58374657.0,ns,212282
copy_or_loop,copy,,,,59343178.0,ns,215880
copy_or_loop,copy,,,,60371499.0,ns,219478
copy_or_loop,copy,,,,61344921.0,ns,223076
copy_or_loop,copy,,,,62319642.0,ns,226674
copy_or_loop,copy,,,,63328163.0,ns,230272
copy_or_loop,copy,,,,64344785.0,ns,233870
copy_or_loop,copy,,,,65346907.0,ns,237468
copy_or_loop,copy,,,,66276727.0,ns,241066
copy_or_loop,copy,,,,67286149.0,ns,244664
copy_or_loop,copy,,,,68264069.0,ns,248262
copy_or_loop,copy,,,,69261791.0,ns,251860
copy_or_loop,copy,,,,70260013.0,ns,255458
copy_or_loop,copy,,,,71305135.0,ns,259056
copy_or_loop,copy,,,,72247655.0,ns,262654
copy_or_loop,copy,,,,73225876.0,ns,266252
copy_or_loop,copy,,,,74238898.0,ns,269850
copy_or_loop,copy,,,,75165018.0,ns,273448
copy_or_loop,copy,,,,76329844.0,ns,277046
copy_or_loop,copy,,,,77169061.0,ns,280644
copy_or_loop,copy,,,,78184583.0,ns,284242
copy_or_loop,copy,,,,79152304.0,ns,287840
copy_or_loop,copy,,,,80118725.0,ns,291438
copy_or_loop,copy,,,,81145463.0,ns,295036
copy_or_loop,copy,,,,82118913.0,ns,298634
copy_or_loop,copy,,,,83090932.0,ns,302232
copy_or_loop,copy,,,,84174851.0,ns,305830
copy_or_loop,copy,,,,85095369.0,ns,309428
copy_or_loop,copy,,,,86114187.0,ns,313026
copy_or_loop,copy,,,,87069904.0,ns,316624
copy_or_loop,copy,,,,88121725.0,ns,320222
copy_or_loop,copy,,,,89050341.0,ns,323820
copy_or_loop,copy,,,,90066060.0,ns,327418
copy_or_loop,copy,,,,91042378.0,ns,331016
copy_or_loop,copy,,,,92050296.0,ns,334614
copy_or_loop,copy,,,,93019515.0,ns,338212
copy_or_loop,copy,,,,93962432.0,ns,341810
copy_or_loop,copy,,,,95033251.0,ns,345408
copy_or_loop,copy,,,,95975269.0,ns,349006
copy_or_loop,copy,,,,96991888.0,ns,352604
copy_or_loop,copy,,,,97943705.0,ns,356202
copy_or_loop,copy,,,,98973624.0,ns,359800
