group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
copy_or_loop,copy_buf,,,,989018.0,ns,7106
copy_or_loop,copy_buf,,,,1978937.0,ns,14212
copy_or_loop,copy_buf,,,,2974554.0,ns,21318
copy_or_loop,copy_buf,,,,3958173.0,ns,28424
copy_or_loop,copy_buf,,,,4944991.0,ns,35530
copy_or_loop,copy_buf,,,,5947909.0,ns,42636
copy_or_loop,copy_buf,,,,6932728.0,ns,49742
copy_or_loop,copy_buf,,,,7917345.0,ns,56848
copy_or_loop,copy_buf,,,,8909264.0,ns,63954
copy_or_loop,copy_buf,,,,9896682.0,ns,71060
copy_or_loop,copy_buf,,,,10897700.0,ns,78166
copy_or_loop,copy_buf,,,,11885918.0,ns,85272
copy_or_loop,copy_buf,,,,12870937.0,ns,92378
copy_or_loop,copy_buf,,,,13867855.0,ns,99484
copy_or_loop,copy_buf,,,,14839372.0,ns,106590
copy_or_loop,copy_buf,,,,15831791.0,ns,113696
copy_or_loop,copy_buf,,,,16839910.0,ns,120802
copy_or_loop,copy_buf,,,,17831627.0,ns,127908
copy_or_loop,copy_buf,,,,18815546.0,ns,135014
copy_or_loop,copy_buf,,,,19853465.0,ns,142120
copy_or_loop,copy_buf,,,,20872583.0,ns,149226
copy_or_loop,copy_buf,,,,21762600.0,ns,156332
copy_or_loop,copy_buf,,,,22757218.0,ns,163438
copy_or_loop,copy_buf,,,,23745137.0,ns,170544
copy_or_loop,copy_buf,,,,24738754.0,ns,177650
copy_or_loop,copy_buf,,,,25744273.0,ns,184756
copy_or_loop,copy_buf,,,,26729792.0,ns,191862
copy_or_loop,copy_buf,,,,27714309.0,ns,198968
copy_or_loop,copy_buf,,,,28719027.0,ns,206074
copy_or_loop,copy_buf,,,,29699545.0,ns,213180
copy_or_loop,copy_buf,,,,30687064.0,ns,220286
copy_or_loop,copy_buf,,,,31672082.0,ns,227392
copy_or_loop,copy_buf,,,,32689601.0,ns,234498
copy_or_loop,copy_buf,,,,33657918.0,ns,241604
copy_or_loop,copy_buf,,,,34649937.0,ns,248710
copy_or_loop,copy_buf,,,,35632855.0,ns,255816
copy_or_loop,copy_buf,,,,36625873.0,ns,262922
copy_or_loop,copy_buf,,,,37627591.0,ns,270028
copy_or_loop,copy_buf,,,,38615809.0,ns,277134
copy_or_loop,copy_buf,,,,39588528.0,ns,284240
copy_or_loop,copy_buf,,,,40590846.0,ns,291346
copy_or_loop,copy_buf,,,,41557763.0,ns,298452
copy_or_loop,copy_buf,,,,42557982.0,ns,305558
copy_or_loop,copy_buf,,,,43579101.0,ns,312664
copy_or_loop,copy_buf,,,,44547019.0,ns,319770
copy_or_loop,copy_buf,,,,45528936.0,ns,326876
copy_or_loop,copy_buf,,,,46520055.0,ns,333982
copy_or_loop,copy_buf,,,,47526173.0,ns,341088
copy_or_loop,copy_buf,,,,48541492.0,ns,348194
copy_or_loop,copy_buf,,,,49539810.0,ns,355300
copy_or_loop,copy_buf,,,,50494228.0,ns,362406
copy_or_loop,copy_buf,,,,51486946.0,ns,369512
copy_or_loop,copy_buf,,,,52487065.0,ns,376618
copy_or_loop,copy_buf,,,,53494583.0,ns,383724
copy_or_loop,copy_buf,,,,54459000.0,ns,390830
copy_or_loop,copy_buf,,,,55619822.0,ns,397936
copy_or_loop,copy_buf,,,,56425437.0,ns,405042
copy_or_loop,copy_buf,,,,57438556.0,ns,412148
copy_or_loop,copy_buf,,,,58417173.0,ns,419254
copy_or_loop,copy_buf,,,,59402491.0,ns,426360
copy_or_loop,copy_buf,,,,60400110.0,ns,433466
copy_or_loop,copy_buf,,,,61370828.0,ns,440572
copy_or_loop,copy_buf,,,,62376446.0,ns,447678
copy_or_loop,copy_buf,,,,63367864.0,ns,454784
copy_or_loop,copy_buf,,,,64358183.0,ns,461890
copy_or_loop,copy_buf,,,,65355801.0,ns,468996
copy_or_loop,copy_buf,,,,66375419.0,ns,476102
copy_or_loop,copy_buf,,,,67287737.0,ns,483208
copy_or_loop,copy_buf,,,,68314255.0,ns,490314
copy_or_loop,copy_buf,,,,69320874.0,ns,497420
copy_or_loop,copy_buf,,,,70285591.0,ns,504526
copy_or_loop,copy_buf,,,,71301410.0,ns,511632
copy_or_loop,copy_buf,,,,72271128.0,ns,518738
copy_or_loop,copy_buf,,,,73251646.0,ns,525844
copy_or_loop,copy_buf,,,,74249065.0,ns,532950
copy_or_loop,copy_buf,,,,75248882.0,ns,540056
