group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
copy_or_loop,loop,,,,993718.0,ns,8354
copy_or_loop,loop,,,,1977237.0,ns,16708
copy_or_loop,loop,,,,2976555.0,ns,25062
copy_or_loop,loop,,,,3960574.0,ns,33416
copy_or_loop,loop,,,,4951192.0,ns,41770
copy_or_loop,loop,,,,5941011.0,ns,50124
copy_or_loop,loop,,,,6914428.0,ns,58478
copy_or_loop,loop,,,,7917848.0,ns,66832
copy_or_loop,loop,,,,8918766.0,ns,75186
copy_or_loop,loop,,,,9908284.0,ns,83540
copy_or_loop,loop,,,,10919703.0,ns,91894
copy_or_loop,loop,,,,11928322.0,ns,100248
copy_or_loop,loop,,,,12889740.0,ns,108602
copy_or_loop,loop,,,,13826957.0,ns,116956
copy_or_loop,loop,,,,14818976.0,ns,125310
copy_or_loop,loop,,,,15800694.0,ns,133664
copy_or_loop,loop,,,,16782112.0,ns,142018
copy_or_loop,loop,,,,17767531.0,ns,150372
copy_or_loop,loop,,,,18756049.0,ns,158726
copy_or_loop,loop,,,,19741867.0,ns,167080
copy_or_loop,loop,,,,20729886.0,ns,175434
copy_or_loop,loop,,,,21710004.0,ns,183788
copy_or_loop,loop,,,,22717223.0,ns,192142
copy_or_loop,loop,,,,23695241.0,ns,200496
copy_or_loop,loop,,,,24659858.0,ns,208850
copy_or_loop,loop,,,,25644677.0,ns,217204
copy_or_loop,loop,,,,26640995.0,ns,225558
copy_or_loop,loop,,,,27615214.0,ns,233912
copy_or_loop,loop,,,,28623233.0,ns,242266
copy_or_loop,loop,,,,29607451.0,ns,250620
copy_or_loop,loop,,,,30614169.0,ns,258974
copy_or_loop,loop,,,,31582288.0,ns,267328
copy_or_loop,loop,,,,32574106.0,ns,275682
copy_or_loop,loop,,,,33569024.0,ns,284036
copy_or_loop,loop,,,,34549143.0,ns,292390
copy_or_loop,loop,,,,35525161.0,ns,300744
copy_or_loop,loop,,,,36537380.0,ns,309098
copy_or_loop,loop,,,,37506998.0,ns,317452
copy_or_loop,loop,,,,38505316.0,ns,325806
copy_or_loop,loop,,,,39485935.0,ns,334160
copy_or_loop,loop,,,,40458866.0,ns,342514
copy_or_loop,loop,,,,41461896.0,ns,350868
copy_or_loop,loop,,,,42456915.0,ns,359222
copy_or_loop,loop,,,,43448835.0,ns,367576
copy_or_loop,loop,,,,44435353.0,ns,375930
copy_or_loop,loop,,,,45441973.0,ns,384284
copy_or_loop,loop,,,,46431991.0,ns,392638
copy_or_loop,loop,,,,47410711.0,ns,400992
copy_or_loop,loop,,,,48381029.0,ns,409346
copy_or_loop,loop,,,,49353748.0,ns,417700
copy_or_loop,loop,,,,50384967.0,ns,426054
copy_or_loop,loop,,,,51325886.0,ns,434408
copy_or_loop,loop,,,,52318605.0,ns,442762
copy_or_loop,loop,,,,53389325.0,ns,451116
copy_or_loop,loop,,,,54369344.0,ns,459470
copy_or_loop,loop,,,,55287662.0,ns,467824
copy_or_loop,loop,,,,56283981.0,ns,476178
copy_or_loop,loop,,,,57271999.0,ns,484532
copy_or_loop,loop,,,,58238519.0,ns,492886
copy_or_loop,loop,,,,59238037.0,ns,501240
copy_or_loop,loop,,,,60228757.0,ns,509594
copy_or_loop,loop,,,,61213176.0,ns,517948
copy_or_loop,loop,,,,62169994.0,ns,526302
copy_or_loop,loop,,,,63184113.0,ns,534656
copy_or_loop,loop,,,,64239234.0,ns,543010
copy_or_loop,loop,,,,65161651.0,ns,551364
copy_or_loop,loop,,,,66143570.0,ns,559718
copy_or_loop,loop,,,,67147290.0,ns,568072
copy_or_loop,loop,,,,68115508.0,ns,576426
copy_or_loop,loop,,,,69097227.0,ns,584780
copy_or_loop,loop,,,,70080846.0,ns,593134
copy_or_loop,loop,,,,71082565.0,ns,601488
copy_or_loop,loop,,,,72043583.0,ns,609842
copy_or_loop,loop,,,,73047903.0,ns,618196
copy_or_loop,loop,,,,74075922.0,ns,626550
copy_or_loop,loop,,,,75019941.0,ns,634904
copy_or_loop,loop,,,,75995460.0,ns,643258
copy_or_loop,loop,,,,76987978.0,ns,651612
copy_or_loop,loop,,,,78058899.0,ns,659966
copy_or_loop,loop,,,,78999917.0,ns,668320
copy_or_loop,loop,,,,79972036.0,ns,676674
copy_or_loop,loop,,,,80980655.0,ns,685028
copy_or_loop,loop,,,,81945474.0,ns,693382
copy_or_loop,loop,,,,82934192.0,ns,701736
copy_or_loop,loop,,,,83924112.0,ns,710090
copy_or_loop,loop,,,,84892530.0,ns,718444
copy_or_loop,loop,,,,85870649.0,ns,726798
copy_or_loop,loop,,,,86877969.0,ns,735152
copy_or_loop,loop,,,,87885888.0,ns,743506
copy_or_loop,loop,,,,88862406.0,ns,751860
copy_or_loop,loop,,,,89935927.0,ns,760214
copy_or_loop,loop,,,,90810544.0,ns,768568
copy_or_loop,loop,,,,91824864.0,ns,776922
copy_or_loop,loop,,,,92817782.0,ns,785276
copy_or_loop,loop,,,,93769401.0,ns,793630
copy_or_loop,loop,,,,94781120.0,ns,801984
copy_or_loop,loop,,,,95755739.0,ns,810338
copy_or_loop,loop,,,,96752758.0,ns,818692
copy_or_loop,loop,,,,97713776.0,ns,827046
copy_or_loop,loop,,,,98714196.0,ns,835400
